year_rel,treated_chatgpt,mean,se,n,mean_norm,group
-3,1,39.462335714285715,12.643475017084866,14,14.231788345864661,treated
-2,1,81.0537588235294,21.011600842587878,17,55.82321145510835,treated
-1,1,25.230547368421053,9.421435985719162,19,0.0,treated
0,1,-43.85201052631579,5.142014779753022,19,-69.08255789473684,treated
1,1,86.54796842105263,9.559196383933708,19,61.31742105263157,treated
2,1,39.19301052631579,18.90056045137332,19,13.962463157894735,treated
3,1,11.898947368421053,10.340571422771408,19,-13.3316,treated
-3,0,45.03010975609756,6.044301570606537,41,16.61554531165311,control
-2,0,89.67643658536586,13.147337941705137,41,61.26187214092141,control
-1,0,28.414564444444448,7.084892601413032,45,0.0,control
0,0,-39.31281739130435,4.522917281732471,46,-67.7273818357488,control
1,0,56.59829565217392,9.265347954273908,46,28.18373120772947,control
2,0,38.187660869565214,19.471653947764988,46,9.773096425120766,control
3,0,-3.9036021739130433,5.026327879165295,46,-32.318166618357495,control
